"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/01/04","32.2","32.2","32","32.2","0.20000000000000284","0.63","5.086"
"2023/01/03","32.1","32.3","31.9","32","-0.04999999999999716","-0.16","9"
"2022/12/30","33.1","33.1","32.05","32.05","-0.45000000000000284","-1.38","8.101"
"2022/12/29","31.85","32.8","31.85","32.5","-0.29999999999999716","-0.91","13.012"
"2022/12/28","33.2","33.65","32.7","32.8","-0.25","-0.76","68.173"
"2022/12/27","33.7","33.8","33.05","33.05","0.19999999999999574","0.61","25"
"2022/12/26","33.15","33.15","32.85","32.85","-0.04999999999999716","-0.15","2"
"2022/12/23","33.25","33.25","32.85","32.9","0.04999999999999716","0.15","9"
"2022/12/22","33.2","33.2","32.85","32.85","-0.14999999999999858","-0.45","5"
"2022/12/21","33.4","33.4","33","33","0.29999999999999716","0.92","2.1"
"2022/12/20","33.1","33.15","32.6","32.7","-0.04999999999999716","-0.15","13"
"2022/12/19","33.2","33.2","32.75","32.75","0.04999999999999716","0.15","6"
"2022/12/16","32.8","33.1","32.7","32.7","-0.19999999999999574","-0.61","17"
"2022/12/15","33.2","33.75","32.9","32.9","-0.10000000000000142","-0.30","63"
"2022/12/14","33.15","33.3","33","33","0.10000000000000142","0.30","10"
"2022/12/13","33","33.6","32.9","32.9","-0.30000000000000426","-0.90","15"
"2022/12/12","33.4","33.4","32.9","33.2","-0.09999999999999432","-0.30","4"
"2022/12/09","33.5","33.5","33.3","33.3","0.09999999999999432","0.30","5.03"
"2022/12/08","33.2","33.2","32.9","33.2","0.30000000000000426","0.91","12"
"2022/12/07","33.4","33.4","32.5","32.9","-0.10000000000000142","-0.30","17"
"2022/12/06","34.3","34.3","33","33","-1.1499999999999986","-3.37","54"
"2022/12/05","34.05","34.2","33.85","34.15","-0.45000000000000284","-1.30","13.001"
"2022/12/02","34.2","34.6","34","34.6","0.3999999999999986","1.17","10"
"2022/12/01","35","35","34.05","34.2","-0.7999999999999972","-2.29","25.001"
"2022/11/30","33.55","35.55","33.5","35","1.6499999999999986","4.95","46.001"
"2022/11/29","33.6","33.65","33.15","33.35","-0.25","-0.74","14"
"2022/11/28","33.6","33.6","33.1","33.6","0.14999999999999858","0.45","20.003"
"2022/11/25","33.1","33.45","33.05","33.45","0.10000000000000142","0.30","3.001"
"2022/11/24","33.35","33.35","33.35","33.35","0","0.00","2.004"
"2022/11/23","33.05","33.4","32.8","33.35","0.20000000000000284","0.60","14"
"2022/11/22","33.7","33.7","33","33.15","-0.20000000000000284","-0.60","14"
"2022/11/21","33.45","33.45","33.35","33.35","0.3500000000000014","1.06","3"
"2022/11/18","33.75","34","33","33","-0.45000000000000284","-1.35","22"
"2022/11/17","33.65","33.65","33.05","33.45","0","0.00","8"
"2022/11/16","33.3","33.45","33","33.45","-0.44999999999999574","-1.33","11"
"2022/11/15","33.7","33.9","33.5","33.9","0.19999999999999574","0.59","6"
"2022/11/14","33.7","33.7","33.7","33.7","0.4000000000000057","1.20","1"
"2022/11/11","33.2","33.6","33.2","33.3","-0.20000000000000284","-0.60","7"
"2022/11/10","33.5","33.5","33.5","33.5","0.45000000000000284","1.36","1.033"
"2022/11/09","33.6","33.6","32.85","33.05","-0.5500000000000043","-1.64","8"
"2022/11/08","33.6","33.6","33.5","33.6","0.10000000000000142","0.30","3"
"2022/11/07","33.8","33.95","33.3","33.5","-0.14999999999999858","-0.45","14.003"
"2022/11/04","34","34","33","33.65","0.19999999999999574","0.60","8"
"2022/11/03","33.7","33.7","32.7","33.45","-0.04999999999999716","-0.15","10.065"
"2022/11/02","34","34.2","33.15","33.5","-0.45000000000000284","-1.33","22.005"
"2022/10/31","34","34","33.35","33.95","0.30000000000000426","0.89","4"
"2022/10/28","34.5","34.5","33.65","33.65","-0.3500000000000014","-1.03","4"
"2022/10/27","33.8","34","33.8","34","0.14999999999999858","0.44","4.101"
"2022/10/26","33.85","33.85","33.85","33.85","0.3500000000000014","1.04","1.035"
"2022/10/25","33.5","33.5","33.5","33.5","-0.14999999999999858","-0.45","1"
"2022/10/24","34","34.2","33.65","33.65","0.14999999999999858","0.45","4.001"
"2022/10/21","33.5","33.5","33.5","33.5","0.6000000000000014","1.82","1.016"
"2022/10/20","33.1","33.15","32.6","32.9","-1.0500000000000043","-3.09","7.001"
"2022/10/19","33.05","33.95","33.05","33.95","0.20000000000000284","0.59","2"
"2022/10/18","32.9","33.75","32.9","33.75","0","0.00","4"
"2022/10/14","33.7","33.75","33.25","33.75","1.1499999999999986","3.53","8"
"2022/10/13","33.3","33.3","32.35","32.6","-0.5","-1.51","25.001"
"2022/10/12","33.7","33.7","33.1","33.1","0","0.00","2.001"
"2022/10/11","35.05","35.05","33.1","33.1","-1.5","-4.34","22.001"
"2022/10/07","34.35","35.2","34.35","34.6","0.5","1.47","32.011"
"2022/10/06","33.7","34.1","33.7","34.1","0.8000000000000043","2.40","9"
"2022/10/05","33.2","33.45","33.15","33.3","-0.05000000000000426","-0.15","15.001"
"2022/10/04","33.45","34.45","33.35","33.35","0","0.00","15.1"
"2022/10/03","34.1","34.85","33.35","33.35","-0.04999999999999716","-0.15","25"
"2022/09/30","32.1","34.5","32.1","33.4","1.1499999999999986","3.57","43"
"2022/09/29","31.25","32.3","31.25","32.25","1.1499999999999986","3.70","7"
"2022/09/28","33.8","33.8","31.1","31.1","-2.6499999999999986","-7.85","26.188"
"2022/09/27","33.75","33.75","33.75","33.75","0.29999999999999716","0.90","1"
"2022/09/26","33.8","33.85","33.45","33.45","-0.5499999999999972","-1.62","8"
"2022/09/23","33.85","35","33.6","34","0.20000000000000284","0.59","81.03"
"2022/09/22","33.4","33.95","33.4","33.8","1.1499999999999986","3.52","29"
"2022/09/21","33.5","33.5","32.65","32.65","-0.6499999999999986","-1.95","6"
"2022/09/19","33.2","33.5","33.1","33.3","0","0.00","6"
"2022/09/16","33.2","33.95","33.2","33.3","-0.05000000000000426","-0.15","9"
