Date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2023/1/4,40.9,44.2,40.9,43,2.1,5.13,1701.224
2023/1/3,39.5,41.15,39.4,40.9,1.4,3.54,469.519
2022/12/30,40.35,40.35,39.3,39.5,0.05,0.13,185.178
2022/12/29,39.5,39.8,39.3,39.45,0,0,178.494
2022/12/28,39.2,40.5,39.2,39.45,-0.55,-1.37,328.745
2022/12/27,40.05,40.35,39.5,40,-0.05,-0.12,335.694
2022/12/26,40.8,40.8,39.15,40.05,-0.7,-1.72,555.12
2022/12/23,41,41.4,40.5,40.75,-0.6,-1.45,465.346
2022/12/22,42.1,42.3,40.95,41.35,-0.75,-1.78,671.94
2022/12/21,41.75,42.8,40.8,42.1,0.75,1.81,1003.337
2022/12/20,41.4,43.6,40.8,41.35,-0.1,-0.24,1174.9
2022/12/19,44,44,39.55,41.45,-3.05,-6.85,3045.414
2022/12/16,43.4,45.15,42,44.5,-3.5,-7.29,4855.706
